AppId,AppName,code,message,AppImg
100,才艺秀,0,success,才艺秀.png
101,微课,0,success,微课.png
102,活动,0,success,活动.png
103,班级空间,0,success,班级空间.png
104,博客,0,success,博客.png
105,学习通知,0,success,学习通知.png
106,课堂工具,0,success,课堂工具.png
107,课本点读,0,success,课本点读.png
108,资源中心,0,success,资源中心.png
109,蜜蜂编程,0,success,蜜蜂编程.png
117,校园风采,0,success,校园风采.png
118,成绩查询,0,success,成绩查询.png
119,成绩管理,0,success,成绩管理.png
120,平安校园,0,success,平安校园.png
121,班级管理,0,success,班级管理.png
122,学校管理,0,success,学校管理.png
123,课程表,0,success,课程表.png
124,数据统计,0,success,数据统计.png
125,学情分析,0,success,学情分析.png
126,打卡,0,success,打卡.png
127,直播中心,0,success,直播中心.png
128,通知,0,success,通知.png
129,备课管理,0,success,备课管理.png
130,调查问卷,0,success,调查问卷.png
131,快拍错题,0,success,快拍错题.png
132,在线考试,0,success,在线考试.png
133,趣味学堂,0,success,趣味学堂.png
134,华夏诗魂,0,success,华夏诗魂.png
135,延时课,0,success,延时课.png
148,资源审核系统,0,success,资源审核系统.png
150,录取信息查询,0,success,录取信息查询.png
151,素质评价查询,0,success,素质评价查询.png
153,录取信息查询,0,success,录取信息查询.png
154,素质评价查询,0,success,素质评价查询.png
156,三个课堂,0,success,三个课堂.png
157,教育扶贫大数据平台,0,success,教育扶贫大数据平台.png
158,OA办公系统,0,success,OA办公系统.png
159,文件交换系统,0,success,文件交换系统.png
160,填报系统,0,success,填报系统.png
161,图书管理系统,0,success,图书管理系统.png
162,学生营养餐食堂在线监测追溯管理平台,0,success,学生营养餐食堂在线监测追溯管理平台.png
163,腾讯智慧校园,0,success,腾讯智慧校园.png
164,“阳光智园”校服管理平台,0,success,“阳光智园”校服管理平台.png
165,电子证书,0,success,电子证书.png
166,平昌教育科研,0,success,平昌教育科研.png
167,公共机构能源资源消费统计系统,0,success,公共机构能源资源消费统计系统.png
168,中小学数字校园云平台,0,success,中小学数字校园云平台.png
169,人事工资信息管理平台,0,success,人事工资信息管理平台.png
170,装备管理系统,0,success,装备管理系统.png
171,国家开发银行助学贷款信息网,0,success,国家开发银行助学贷款信息网.png
172,财务（基建）管理云平台,0,success,财务（基建）管理云平台.png
173,四川省课堂教学大比武,0,success,四川省课堂教学大比武.png
174,全国农村义务教育学生营养改善计划月报表系统,0,success,全国农村义务教育学生营养改善计划月报表系统.png
175,全国教师管理信息系统,0,success,全国教师管理信息系统.png
176,全国学前教育管理信息系统-四川省,0,success,全国学前教育管理信息系统-四川省.png
177,四川省校外培训机构信息管理平台,0,success,四川省校外培训机构信息管理平台.png
178,四川省教育考试院招生考试信息查询系统,0,success,四川省教育考试院招生考试信息查询系统.png
179,食堂财务管理软件,0,success,食堂财务管理软件.png
180,教育信息化管理信息系统,0,success,教育信息化管理信息系统.png
181,协同办公系统,0,success,协同办公系统.png
182,全国中等职业学校学生管理信息系统,0,success,全国中等职业学校学生管理信息系统.png
183,内控报告系统,0,success,内控报告系统.png
184,教育督导评估应用系统,0,success,教育督导评估应用系统.png
185,巴中市人民政府网站集约化平台,0,success,巴中市人民政府网站集约化平台.png
186,四川省电子政务内网公文交换系统,0,success,四川省电子政务内网公文交换系统.png
187,四川省学生资助网,0,success,四川省学生资助网.png
188,全国适龄残疾儿童少年入学情况监测系统,0,success,全国适龄残疾儿童少年入学情况监测系统.png
219,趣味学习-学生,0,success,趣味学习-学生.png
220,趣味学习-家长,0,success,趣味学习-家长.png
221,趣味学习-老师,0,success,趣味学习-老师.png
222,趣味学习-教育局,0,success,趣味学习-教育局.png
223,学校应用-学生,0,success,学校应用-学生.png
224,学校应用-家长,0,success,学校应用-家长.png
225,测试-未接入第三方应用,0,success,测试-未接入第三方应用.png
226,乐教乐学PC端应用-资源审核,0,success,乐教乐学PC端应用-资源审核.png
227,已接入第三方应用,0,success,已接入第三方应用.png
228,乐教乐学云平台应用-师训,0,success,乐教乐学云平台应用-师训.png
229,乐教乐学大厅应用-资源中心,0,success,乐教乐学大厅应用-资源中心.png
230,测试趣味,0,success,测试趣味.png
231,测试学校,0,success,测试学校.png
232,活动管理,0,success,活动管理.png
234,心理测评,0,success,心理测评.png
237,名师课堂,0,success,名师课堂.png
238,素质评价,0,success,素质评价.png
239,乐题库,0,success,乐题库.png
240,学业大数据分析系统,0,success,学业大数据分析系统.png
241,网络阅卷,0,success,网络阅卷.png
242,语文拓展学习,0,success,语文拓展学习.png
243,讨论空间,0,success,讨论空间.png
244,乐学阅读,0,success,乐学阅读.png
245,速算森林,0,success,速算森林.png
246,成语攻擂,0,success,成语攻擂.png
247,华夏汉字,0,success,华夏汉字.png
248,公文,0,success,公文.png
249,协同备课,0,success,协同备课.png
250,考试综合管理平台,0,success,考试综合管理平台.png
251,山东高考报名平台（归属省报考院）,0,success,山东高考报名平台（归属省报考院）.png
252,山东省基础教育信息化管理平台,0,success,山东省基础教育信息化管理平台.png
253,学生学籍管理系统,0,success,学生学籍管理系统.png
254,全国教育信息化工作管理系统,0,success,全国教育信息化工作管理系统.png
255,全国学生资助管理信息系统,0,success,全国学生资助管理信息系统.png
256,山东省建档立卡学生资助信息管理系统,0,success,山东省建档立卡学生资助信息管理系统.png
257,济宁安全教育平台,0,success,济宁安全教育平台.png
258,山东省学校安全管理信息系统,0,success,山东省学校安全管理信息系统.png
259,山东省解决城镇中小学大班额问题信息系统,0,success,山东省解决城镇中小学大班额问题信息系统.png
260,义务教育薄弱环节改善与提升双月报系统,0,success,义务教育薄弱环节改善与提升双月报系统.png
261,基础教育改革发展专项调查系统,0,success,基础教育改革发展专项调查系统.png
262,青少年健康管理系统,0,success,青少年健康管理系统.png
263,山东省教育系统疫情防控平台,0,success,山东省教育系统疫情防控平台.png
264,中小学生联赛报名系统,0,success,中小学生联赛报名系统.png
265,山东省教师教育网,0,success,山东省教师教育网.png
266,济宁市专业技术人员继续教育管理服务平台,0,success,济宁市专业技术人员继续教育管理服务平台.png
267,济宁教育网赛事平台,0,success,济宁教育网赛事平台.png
268,济宁教育网财务资产管理平台,0,success,济宁教育网财务资产管理平台.png
269,济宁教育网高中招生报名系统,0,success,济宁教育网高中招生报名系统.png
270,济宁教育网音体美课程开设平台,0,success,济宁教育网音体美课程开设平台.png
271,体育赛事报名系统,0,success,体育赛事报名系统.png
272,济宁市视力监测系统,0,success,济宁市视力监测系统.png
273,集群图书管理系统,0,success,集群图书管理系统.png